Drink Date and Time,Time of Day,Time Woken Up,Amount of Water Consumed,Drink,Column 5,Column 6,Column 7
4/21/2026 7:15 AM,Morning,4:30 AM,1 bottle,Coffee,,,
4/22/26 12:00 PM,Afternoon,10:30 AM,2 bottles,Matcha,,,
4/22/26 4:30 PM,Afternoon,10:30 AM,2 bottles,Mocha,,,
4/23/26 7:15 AM,Morning,6:45 AM,2 bottles,Coffee,,,
4/23/26 4:15 PM,Afternoon,6:45 AM,2 bottles,Matcha,,,
4/27/26 12:00 PM,Afternoon,10:30 AM,2 bottles,Matcha,,,
4/28/26 9:30 AM,Morning,6:45 AM,2 bottles,Mocha,,,
4/29/26 11:30 AM,Morning,10:30 AM,2 bottles,Matcha,,,
4/30/26 11:00 AM,Morning,5:00 AM,1 bottle,Coffee,,,
5/1/26 11:00 AM,Morning,9:45 AM,1 bottle,Matcha,,,
5/1/26 2:00 PM,Afternoon,9:45 AM,1 bottle,Strawberry Milk Tea,,,
5/2/26 3:00 PM,Afternoon,10:00 AM,3 bottles,Coffee,,,
5/3/26 2:00 PM,Afternoon,11:00 AM,1 bottle,Coffee,,,
5/5/2026 7:15 AM,Morning,6:30 AM,2 bottles,Coffee,,,
5/7/2026 11:30 AM,Morning,10:30 AM,1 bottle,Mocha,,,
5/7/2026 2:30 PM,Afternoon,10:30 AM,2 bottles,Matcha,,,
5/8/2026 8:00 AM,Morning,7:30,2 bottles,Mocha,,,
5/9/2026 10:00 AM,Morning,9:00 AM,2 bottles,Mocha,,,
5/11/2026 11:00 AM,Morning,10:30,2 bottles,Coffee,,,
5/12/2026 7:15 AM,Morning,6:40,2 bottles,Coffee,,,
5/13/2026 11:00 AM,Morning,10:30,2 bottles,Coffee,,,
5/14/2026 7:15 AM,Morning,6:40,2 bottles,Coffee,,,
5/16/2026 1:00 PM,Afternoon,11:00,2 bottles,Matcha,,,
5/18/2026 11:00 AM,Morning,10:30,2 bottles,Mocha,,,
5/19/2026 7:15 AM,Morning,6:40,3 bottles,Coffee,,,
5/21/2026 12:30 PM,Afternoon,6:40,3 bottles,Mocha,,,
5/24/2026 8:00 PM,Evening,12:00,3 bottles,Strawberry Milk Tea,,,
5/25/2026 11:00 AM,Morning,10:00,3 bottles,Coffee,,,
5/26/2026 10:00 AM,Morning,6:40,3 bottles,Mocha,,,
5/28/2026 12:30 PM,Afternoon,6:40,2 bottles,Mocha,,,
